id,data,bezeroa,hiria,produktua,kategoria,prezioa,unitateak
2221,2025-09-18,Josefina Gil Frías,La Rioja,Prozesadorea,Osagaiak,1960.5,7
2222,2026-03-10,Óscar Salazar Acevedo,Navarra,Monitorea,Periferikoak,112.3,7
2223,2025-05-26,Carla Vara Mayo,Santa Cruz de Tenerife,Mahaigaineko ordenagailua,Ordenagailuak,178.93,1
2224,2026-04-24,Prudencio Amando Catalán Valcárcel,Albacete,Sare-kablea,Sareak,974.97,6
2225,2025-08-02,Bernardita Pera Abril,Cáceres,Prozesadorea,Osagaiak,1730.5,4
2226,2025-02-10,Narcisa Palacios,Zamora,Wi-Fi egokigailua,Sareak,1942.52,2
2227,2025-11-16,Fausto Torralba-Gallardo,Melilla,Sagua,Periferikoak,1207.89,10
2228,2026-03-24,Olga del Berenguer,Pontevedra,Sare-kablea,Sareak,75.75,10
2229,2026-05-11,Toribio Luján Galiano,La Rioja,Webkamera,Periferikoak,612.27,3
2230,2026-03-22,Domitila Piquer-Cadenas,Badajoz,RAM memoria,Osagaiak,1476.7,10
2231,2026-01-19,Fidel Maldonado Nicolás,Córdoba,Ordenagailu eramangarria,Ordenagailuak,13.89,2
2232,2026-02-06,Perla Cárdenas Cervantes,Palencia,SSD diskoa,Osagaiak,1928.63,5
2233,2026-05-20,Francisco Puga Serra,Asturias,RAM memoria,Osagaiak,1866.16,4
2234,2025-10-12,Mirta del Barco,Sevilla,Wi-Fi egokigailua,Sareak,143.49,9
2235,2025-07-01,Pío Folch Jaume,La Coruña,Mahaigaineko ordenagailua,Ordenagailuak,962.95,10
2236,2025-07-06,Lola Romero Salcedo,Ourense,Webkamera,Periferikoak,399.86,9
2237,2026-09-02,Tecla Ágata Sales Correa,La Coruña,Prozesadorea,Osagaiak,108.69,1
2238,2025-07-25,Gracia Cazorla Aguilera,La Rioja,SSD diskoa,Osagaiak,734.4,8
2239,2026-08-19,Leticia Yáñez Pujadas,Guadalajara,Wi-Fi egokigailua,Sareak,1824.63,6
2240,2026-09-17,Edu Sosa Rosa,Álava,Ordenagailu eramangarria,Ordenagailuak,112.49,9
2241,2025-05-28,Roxana Cazorla Manuel,Huelva,Bideratzailea,Sareak,854.48,6
2242,2025-05-19,Chucho Jerez Mate,Asturias,Webkamera,Periferikoak,1915.37,1
2243,2026-05-02,Cosme Ángel,Murcia,Txartel grafikoa,Osagaiak,39.65,4
2244,2026-05-16,Pánfilo Bartolomé Santamaria,Ciudad,Webkamera,Periferikoak,402.5,10
2245,2026-05-08,Carmelo Garay-Vila,Almería,Sagua,Periferikoak,97.88,6
2246,2025-10-23,Consuelo de Lobo,Castellón,Mahaigaineko ordenagailua,Ordenagailuak,1373.74,1
2247,2026-01-02,Juanita María Tormo Torrens,Cuenca,Wi-Fi egokigailua,Sareak,318.71,5
2248,2025-02-24,María Jesús León Zurita,Granada,Mahaigaineko ordenagailua,Ordenagailuak,1877.5,8
2249,2025-06-09,Pili Téllez Martínez,Ourense,SSD diskoa,Osagaiak,1025.81,4
2250,2026-01-31,Marisol Arrieta Checa,Álava,Sagua,Periferikoak,1473.78,5
2251,2025-01-09,Salvador Guijarro Bosch,Melilla,Sagua,Periferikoak,685.66,5
2252,2025-09-01,Carmelo Alex Gordillo Bárcena,Sevilla,Mahaigaineko ordenagailua,Ordenagailuak,969.36,9
2253,2025-08-26,Flavia Aurora Mendizábal Batlle,Valencia,Wi-Fi egokigailua,Sareak,1866.87,9
2254,2025-02-18,Lourdes Castelló,Zamora,Txartel grafikoa,Osagaiak,1431.65,5
2255,2025-11-14,Donato Gimeno Diéguez,Albacete,Mini PC,Ordenagailuak,1321.46,9
2256,2026-02-28,Celestino Segovia-Rivera,Girona,Switch-a,Sareak,207.56,4
2257,2025-07-01,Tadeo García Bolaños,Ávila,Mini PC,Ordenagailuak,1895.97,2
2258,2025-10-23,Eugenio Collado Pizarro,Guipúzcoa,Wi-Fi egokigailua,Sareak,853.79,9
2259,2026-08-06,Desiderio Cañellas Seguí,Ceuta,Mini PC,Ordenagailuak,975.15,8
2260,2026-09-09,Danilo Soto Barbero,Teruel,Mahaigaineko ordenagailua,Ordenagailuak,652.34,9
2261,2024-11-03,Elisa del Salom,Teruel,Wi-Fi egokigailua,Sareak,149.8,8
2262,2025-09-21,Cintia Zamorano Berenguer,León,Switch-a,Sareak,952.65,2
2263,2025-11-23,Leire Barco Mate,Málaga,Webkamera,Periferikoak,348.51,9
2264,2025-09-28,Loida del Reig,Melilla,Prozesadorea,Osagaiak,1768.19,1
2265,2025-07-11,Diego Pujol Camps,Baleares,Bideratzailea,Sareak,1299.42,2
2266,2025-01-14,Miriam Zabala-Pombo,Málaga,Ordenagailu eramangarria,Ordenagailuak,1675.3,8
2267,2026-07-24,Otilia Arco Carrasco,Lleida,Mini PC,Ordenagailuak,275.28,8
2268,2025-11-28,Guillermo Guardia Goicoechea,Teruel,Txartel grafikoa,Osagaiak,1359.38,10
2269,2026-07-28,Pepe del Arregui,Madrid,Wi-Fi egokigailua,Sareak,947.65,10
2270,2026-06-15,Claudio del Pablo,Álava,Sare-kablea,Sareak,910.3,2
2271,2026-05-30,Aureliano Moraleda,Guipúzcoa,Prozesadorea,Osagaiak,1400.98,6
2272,2026-01-30,Gastón Castejón Bueno,Salamanca,Switch-a,Sareak,1062.35,5
2273,2024-10-26,Liliana Gallart Calvo,Granada,Teklatua,Periferikoak,636.61,1
2274,2026-03-27,Moisés del Avilés,La Coruña,Mini PC,Ordenagailuak,914.14,6
2275,2026-05-14,María Cristina de Arcos,León,Sare-kablea,Sareak,1106.6,3
2276,2026-01-03,Samu Roque Lasa Palau,Málaga,SSD diskoa,Osagaiak,544.52,8
2277,2024-10-12,Sebastián del Roma,Albacete,Teklatua,Periferikoak,889.27,3
2278,2025-09-09,Lilia Galindo Carrera,Palencia,Webkamera,Periferikoak,754.57,3
2279,2026-01-20,Baldomero del Galindo,Barcelona,Prozesadorea,Osagaiak,683.71,6
2280,2026-01-06,Danilo de Marín,Jaén,Monitorea,Periferikoak,146.7,6
2281,2025-10-21,Iris Porcel-Amador,Castellón,Monitorea,Periferikoak,602.49,8
2282,2025-07-04,Francisco Jose Palacios Luque,Santa Cruz de Tenerife,Webkamera,Periferikoak,553.94,10
2283,2025-07-31,Abril Navarro Alberto,Cáceres,Ordenagailu eramangarria,Ordenagailuak,1056.85,2
2284,2025-11-10,Mohamed Madrid Cabeza,Zamora,Wi-Fi egokigailua,Sareak,1720.35,8
2285,2026-02-16,Patricio Jara Frutos,Zaragoza,Sare-kablea,Sareak,594.3,3
2286,2025-10-20,Nazaret Melchor Hernández Fortuny,Zaragoza,RAM memoria,Osagaiak,874.81,6
2287,2025-11-17,Fátima Exposito-Carnero,La Rioja,Mahaigaineko ordenagailua,Ordenagailuak,931.58,2
2288,2026-09-16,Irma Bermejo Abellán,Guadalajara,Sare-kablea,Sareak,1879.3,5
2289,2026-05-09,Bonifacio Castellanos Cañellas,Cuenca,Prozesadorea,Osagaiak,153.26,8
2290,2025-11-02,Lara Palma Alegre,Lugo,Sare-kablea,Sareak,1263.9,6
2291,2026-01-01,Santos Quintanilla-Carreño,Girona,Prozesadorea,Osagaiak,1268.21,4
2292,2026-04-14,Ana Belén Seco Mateu,Huesca,Txartel grafikoa,Osagaiak,1810.39,3
2293,2026-05-10,Leonardo Pla Hoz,Valladolid,Switch-a,Sareak,782.27,2
2294,2026-03-14,Virginia Nadal Palacio,Santa Cruz de Tenerife,Sagua,Periferikoak,1000.87,8
2295,2026-06-07,Santiago Bru-Martín,Albacete,Switch-a,Sareak,1904.7,6
2296,2026-09-04,Fabiana Bartolomé Galindo,Vizcaya,Mahaigaineko ordenagailua,Ordenagailuak,1900.87,5
2297,2025-09-10,Juanito Granados Abascal,Lugo,Switch-a,Sareak,1964.29,2
2298,2026-07-31,Gonzalo Blanes-Pereira,Girona,Sagua,Periferikoak,309.45,2
2299,2025-04-02,Jesusa Zorrilla-Villanueva,Palencia,Mahaigaineko ordenagailua,Ordenagailuak,442.8,3
2300,2025-04-23,Estrella Machado-Hervás,Madrid,Mini PC,Ordenagailuak,896.54,2
2301,2024-10-31,Rosaura Pereira,Almería,Prozesadorea,Osagaiak,1485.89,9
2302,2026-08-29,Fabricio Fábregas Blasco,Ávila,Bideratzailea,Sareak,517.29,7
2303,2025-10-19,Maximiano Calleja Alcolea,Zaragoza,Bideratzailea,Sareak,1128.58,2
2304,2025-12-17,Melania Zamorano Montero,Granada,Ordenagailu eramangarria,Ordenagailuak,682.97,8
2305,2025-07-17,Modesta de Clavero,Palencia,Mini PC,Ordenagailuak,410.31,2
2306,2026-08-12,Patricio Ferrández Alberola,Alicante,Teklatua,Periferikoak,383.24,1
2307,2026-08-25,Trinidad Naranjo Naranjo,Soria,SSD diskoa,Osagaiak,1879.17,3
2308,2026-03-18,Espiridión Corral Amores,La Rioja,Webkamera,Periferikoak,80.13,6
2309,2025-03-29,Marcia Cifuentes-Aliaga,La Coruña,Mahaigaineko ordenagailua,Ordenagailuak,1833.31,4
2310,2024-12-26,Emilio Arcos Angulo,Ceuta,RAM memoria,Osagaiak,382.85,3
2311,2025-06-22,Nacio Amorós Bustos,Asturias,Ordenagailu eramangarria,Ordenagailuak,1557.26,5
2312,2025-02-23,Armida Fernández-Goñi,Huesca,Sagua,Periferikoak,1063.48,2
2313,2025-01-17,Dominga Eva María Requena Luque,Barcelona,RAM memoria,Osagaiak,628.23,9
2314,2025-04-29,Marcos Ismael Roman Adadia,Córdoba,Sare-kablea,Sareak,884.24,5
2315,2026-03-22,Felipa Huertas-Ruiz,Santa Cruz de Tenerife,Txartel grafikoa,Osagaiak,1285.31,5
2316,2025-01-31,Selena Guerra Palacio,Vizcaya,Teklatua,Periferikoak,690.88,3
2317,2026-09-10,Flora Márquez Batalla,Madrid,Sare-kablea,Sareak,1971.2,6
2318,2026-06-22,Ana Riera,Granada,Prozesadorea,Osagaiak,550.6,6
2319,2025-03-24,Octavia Peláez-Cuervo,León,SSD diskoa,Osagaiak,1896.97,7
2320,2026-03-03,Fortunato de Raya,Valladolid,Wi-Fi egokigailua,Sareak,1536.31,3
2321,2025-02-18,Leire Contreras Martorell,Guipúzcoa,Webkamera,Periferikoak,172.2,8
2322,2026-08-19,Íngrid de Morante,Castellón,Wi-Fi egokigailua,Sareak,846.7,6
2323,2025-03-22,Alba Rey-Cadenas,Toledo,Switch-a,Sareak,611.72,8
2324,2025-12-17,Rocío de Ribes,Huelva,RAM memoria,Osagaiak,1384.64,2
2325,2025-07-08,Morena Ferrándiz,Ávila,Ordenagailu eramangarria,Ordenagailuak,506.2,8
2326,2025-09-05,América Soto Delgado,Badajoz,SSD diskoa,Osagaiak,1103.78,7
2327,2026-08-25,Leopoldo Chaves Pomares,Ourense,Switch-a,Sareak,246.16,2
2328,2025-07-11,Manu Martorell,La Coruña,Sagua,Periferikoak,667.82,5
2329,2026-03-24,Guillermo Martin Ocaña,Castellón,RAM memoria,Osagaiak,1229.13,8
2330,2026-03-24,Teodora Mas-Alberdi,La Coruña,SSD diskoa,Osagaiak,1040.85,2
2331,2025-02-03,Odalys Piñol Manzano,Ávila,Mini PC,Ordenagailuak,844.57,1
2332,2026-02-03,Consuelo de Mulet,Pontevedra,Bideratzailea,Sareak,72.13,7
2333,2025-01-25,Albina Carballo-Quero,Ourense,Mini PC,Ordenagailuak,562.93,10
2334,2026-04-02,Cleto Gonzalo Guardiola,Cuenca,Ordenagailu eramangarria,Ordenagailuak,980.85,7
2335,2026-01-16,Olegario Llanos,Girona,Bideratzailea,Sareak,1695.72,9
2336,2024-11-27,Andrés Felipe Rovira Uriarte,Alicante,Teklatua,Periferikoak,519.69,2
2337,2025-07-13,Luis Miguel Nacio Blanco Amaya,Granada,Mini PC,Ordenagailuak,1846.2,1
2338,2025-10-15,Tamara Rincón Carrera,Murcia,Prozesadorea,Osagaiak,1536.9,10
2339,2025-03-22,Benjamín Fonseca Jordá,Granada,Mini PC,Ordenagailuak,539.19,1
2340,2025-05-15,Ibán Barriga Tejera,Madrid,Prozesadorea,Osagaiak,425.69,7
2341,2024-11-21,Ariel Boix Valbuena,Castellón,Ordenagailu eramangarria,Ordenagailuak,1607.9,2
2342,2026-08-01,Borja Mateos Simó,Cáceres,Teklatua,Periferikoak,597.11,2
2343,2026-05-30,Susanita Martínez Molins,Madrid,Prozesadorea,Osagaiak,1587.77,4
2344,2025-09-06,Flor Tudela,Girona,Sare-kablea,Sareak,389.77,2
2345,2025-11-02,Alejo Valera Mata,Sevilla,Txartel grafikoa,Osagaiak,255.73,5
2346,2025-03-25,Benigno Olivé Luz,Asturias,RAM memoria,Osagaiak,173.42,4
2347,2024-10-31,Narcisa Iris Esteve Pont,La Rioja,Monitorea,Periferikoak,1672.44,6
2348,2026-09-22,Reyes Valdés Mesa,Álava,RAM memoria,Osagaiak,1301.46,5
2349,2026-03-04,Paulino Soler Llorente,Las Palmas,Sare-kablea,Sareak,1243.36,9
2350,2026-09-10,Gil Camino Niño,León,SSD diskoa,Osagaiak,1928.84,7
2351,2025-06-17,Emiliana Coello,León,Prozesadorea,Osagaiak,938.19,7
2352,2024-12-30,Graciela Pedraza Amo,Jaén,Bideratzailea,Sareak,980.2,1
2353,2025-04-26,Bartolomé Girón-Adadia,Málaga,Mini PC,Ordenagailuak,1962.53,3
2354,2024-10-23,Isidora Calderon,Álava,Webkamera,Periferikoak,842.69,10
2355,2026-01-27,Jose Carlos Cerdá Chico,Lugo,Mahaigaineko ordenagailua,Ordenagailuak,350.24,9
2356,2024-12-21,Buenaventura Grande Clavero,Cádiz,Ordenagailu eramangarria,Ordenagailuak,1143.19,5
2357,2025-10-20,Eugenia Cortés Zorrilla,Huelva,Mini PC,Ordenagailuak,1215.76,5
2358,2024-09-24,Alejo Leal Santamaria,Ceuta,Mahaigaineko ordenagailua,Ordenagailuak,1827.13,2
2359,2025-06-04,Seve Miralles Ferrera,Vizcaya,Txartel grafikoa,Osagaiak,1904.18,3
2360,2026-07-30,Ruy Rueda Mancebo,Santa Cruz de Tenerife,SSD diskoa,Osagaiak,1963.62,9
2361,2025-12-05,Luciana Hernandez Andres,Murcia,Ordenagailu eramangarria,Ordenagailuak,1748.9,1
2362,2024-12-07,Wálter Toribio Mur Herrera,Asturias,Monitorea,Periferikoak,1790.97,3
2363,2026-08-03,Ernesto Soria-Redondo,Girona,Mini PC,Ordenagailuak,1814.8,3
2364,2025-01-29,Nereida Godoy,Jaén,Ordenagailu eramangarria,Ordenagailuak,1553.44,8
2365,2026-01-28,Jesús de Coello,Ceuta,Mini PC,Ordenagailuak,1275.92,8
2366,2026-08-04,Segismundo del Alcalá,Guipúzcoa,Monitorea,Periferikoak,1966.44,8
2367,2025-11-30,Paco Rodrigo Almansa Lobo,Ourense,Teklatua,Periferikoak,1713.53,10
2368,2025-11-11,Onofre Martí Palomar,Melilla,Sare-kablea,Sareak,35.48,2
2369,2025-07-04,Jimena Hernandez Guillen,Valladolid,Mahaigaineko ordenagailua,Ordenagailuak,765.56,1
2370,2025-07-12,Iván Ribas Buendía,La Rioja,Mini PC,Ordenagailuak,1152.8,5
2371,2025-01-04,Maximino de Vigil,Cantabria,Mahaigaineko ordenagailua,Ordenagailuak,1485.51,10
2372,2026-01-04,Emiliana Leon Mata,Vizcaya,Txartel grafikoa,Osagaiak,1765.23,6
2373,2025-10-16,Dionisio Chico Iglesia,Castellón,Mahaigaineko ordenagailua,Ordenagailuak,1054.0,1
2374,2024-11-21,Fabio Cano Muro,Ciudad,Webkamera,Periferikoak,1234.13,6
2375,2025-05-12,Teo Luís Andrade Plana,Madrid,Webkamera,Periferikoak,35.2,5
2376,2025-06-20,Dimas Garcés Giralt,Salamanca,SSD diskoa,Osagaiak,1388.76,5
2377,2025-02-03,Teobaldo de Montserrat,Melilla,Webkamera,Periferikoak,468.5,5
2378,2026-07-21,Marciano Rozas Poza,Tarragona,Mini PC,Ordenagailuak,1233.11,8
2379,2024-12-05,Cayetano Marcelo Chamorro Castro,Granada,Prozesadorea,Osagaiak,839.59,9
2380,2026-07-16,Noa Hernando Echeverría,Jaén,RAM memoria,Osagaiak,977.0,7
2381,2026-09-13,Pili Aparicio Garriga,Ceuta,RAM memoria,Osagaiak,1029.5,5
2382,2024-09-29,Alonso Ripoll Bustos,Badajoz,Sagua,Periferikoak,1321.31,4
2383,2025-12-19,María Del Carmen Torrens Blazquez,Álava,Teklatua,Periferikoak,1328.2,3
2384,2025-08-04,Blanca Espinosa Niño,Teruel,Monitorea,Periferikoak,1438.63,2
2385,2025-06-09,Esmeralda Abril Sancho Clavero,Álava,Monitorea,Periferikoak,1630.99,6
2386,2025-01-01,Ariel del Solís,Zamora,Prozesadorea,Osagaiak,588.42,7
2387,2025-08-11,Silvio Donato Saldaña Alberto,Salamanca,Monitorea,Periferikoak,1940.96,6
2388,2026-01-31,Édgar Bernat Sanmiguel,Las Palmas,Txartel grafikoa,Osagaiak,1462.54,6
2389,2025-06-02,Miriam Ripoll Bautista,Albacete,Mini PC,Ordenagailuak,332.7,2
2390,2025-09-07,Herminio Benavent Barreda,Barcelona,Sagua,Periferikoak,146.86,2
2391,2025-09-08,Nieves del Amador,Santa Cruz de Tenerife,Sare-kablea,Sareak,1300.54,4
2392,2025-03-22,Conrado Torre Casal,Palencia,Sagua,Periferikoak,151.17,7
2393,2026-01-09,Herminia Giménez Valenciano,Ávila,Monitorea,Periferikoak,1737.19,10
2394,2025-02-11,Alberto Hierro Santana,Vizcaya,Sagua,Periferikoak,1171.96,9
2395,2026-06-23,Cristóbal Clemente Jover,Huelva,Txartel grafikoa,Osagaiak,783.78,4
2396,2026-09-02,Oriana del Calderón,Sevilla,RAM memoria,Osagaiak,1646.87,8
2397,2025-06-01,Valero Nogueira Gallo,Alicante,Bideratzailea,Sareak,206.99,5
2398,2026-05-11,Candelas Roman Pozo,Cádiz,Mahaigaineko ordenagailua,Ordenagailuak,916.28,6
2399,2026-05-05,Casandra Losa Molina,Ceuta,Ordenagailu eramangarria,Ordenagailuak,1006.46,7
2400,2026-08-04,María Luisa Soria Reig,Melilla,Webkamera,Periferikoak,1052.37,10
2401,2025-01-18,Santos Maestre-Pedrero,Albacete,Wi-Fi egokigailua,Sareak,838.8,3
2402,2024-09-28,Marina Castilla Riquelme,Jaén,Monitorea,Periferikoak,1763.14,3
2403,2026-06-18,Remigio Salvà Rios,Cádiz,Mini PC,Ordenagailuak,1939.29,6
2404,2025-12-16,Reyes Garriga-Jiménez,Barcelona,Ordenagailu eramangarria,Ordenagailuak,273.73,2
2405,2025-08-09,Xiomara Acosta Estrada,Zamora,Sagua,Periferikoak,604.63,8
2406,2025-04-21,Leire Silva Cerro,Baleares,Mini PC,Ordenagailuak,601.89,1
2407,2024-10-11,Moreno de Bueno,León,Switch-a,Sareak,1590.31,4
2408,2026-01-07,Ovidio Barba Lerma,Asturias,Sare-kablea,Sareak,1004.51,8
2409,2025-07-09,Mayte Gimenez Checa,Cantabria,Ordenagailu eramangarria,Ordenagailuak,236.8,3
2410,2024-10-13,Victor Manuel Villaverde Manzano,Barcelona,Txartel grafikoa,Osagaiak,1678.32,9
2411,2025-02-20,Héctor Sanmiguel,Albacete,RAM memoria,Osagaiak,1927.88,9
2412,2025-09-23,Paco Gabaldón Piquer,Guipúzcoa,Wi-Fi egokigailua,Sareak,1247.36,7
2413,2024-10-11,África Rius Losada,Baleares,RAM memoria,Osagaiak,303.33,10
2414,2026-04-04,Wilfredo Garrido Perelló,Segovia,Teklatua,Periferikoak,163.13,6
2415,2025-07-06,Fabiola Barreda Atienza,Melilla,Teklatua,Periferikoak,590.32,2
2416,2025-04-17,Dionisio Bartolomé-Olivé,Jaén,Mini PC,Ordenagailuak,701.9,4
2417,2025-02-10,Emigdio Villa Gaya,Granada,Webkamera,Periferikoak,659.45,9
2418,2025-02-14,Micaela Adora Calderón Quintana,Jaén,Mahaigaineko ordenagailua,Ordenagailuak,921.14,8
2419,2025-10-29,Artemio Arcos Cortes,Zamora,Bideratzailea,Sareak,834.77,9
2420,2025-09-12,Isaías Bueno Campillo,Melilla,Txartel grafikoa,Osagaiak,873.66,7
2421,2024-11-25,José Pol-Ródenas,Palencia,Mini PC,Ordenagailuak,1464.66,4
2422,2025-01-18,Jordán Arnaiz Montesinos,Guipúzcoa,RAM memoria,Osagaiak,772.24,5
2423,2026-01-06,Macario Oliveras Roca,León,Sagua,Periferikoak,1122.47,4
2424,2026-08-19,Luis Miguel de Lumbreras,Jaén,Webkamera,Periferikoak,1355.18,2
2425,2026-07-16,Eva María Aroca Batlle,Murcia,Wi-Fi egokigailua,Sareak,1907.54,7
2426,2025-12-09,Abilio Francisco,Burgos,Wi-Fi egokigailua,Sareak,423.2,8
2427,2025-09-08,Irene Girona Jara,Asturias,SSD diskoa,Osagaiak,1665.94,1
2428,2025-05-15,Flora Marín,Badajoz,RAM memoria,Osagaiak,14.69,8
2429,2026-08-12,Julio Suarez Casares,Santa Cruz de Tenerife,Txartel grafikoa,Osagaiak,1572.28,9
2430,2026-08-18,José Sarmiento Carmona,Valladolid,SSD diskoa,Osagaiak,292.4,3
2431,2026-01-13,Chita Abella Barriga,León,Bideratzailea,Sareak,304.9,1
2432,2026-02-28,Calisto Ferrer-Marquez,Madrid,RAM memoria,Osagaiak,1824.86,1
2433,2026-03-17,Susana Salvador Soria,Valladolid,Webkamera,Periferikoak,1919.15,10
2434,2024-12-12,Olimpia Rovira Olmo,La Coruña,Sare-kablea,Sareak,837.37,1
2435,2025-10-11,Cleto del Larrañaga,Albacete,Wi-Fi egokigailua,Sareak,316.2,5
2436,2026-09-14,Nilda Pastor Ferrández,Salamanca,RAM memoria,Osagaiak,1965.88,3
2437,2026-05-28,Angelita Jordán-Hervás,Lleida,Prozesadorea,Osagaiak,746.88,5
2438,2026-01-27,Amarilis Carbonell Nadal,Zamora,Bideratzailea,Sareak,174.42,1
2439,2024-10-26,Olga Cordero Rius,Albacete,Mini PC,Ordenagailuak,71.17,7
2440,2025-11-07,Nicanor Jurado,Guipúzcoa,Webkamera,Periferikoak,1773.71,4
2441,2025-05-14,Leyre Gabaldón,Madrid,Prozesadorea,Osagaiak,1234.23,2
2442,2025-11-14,Mariana Bou Iniesta,Ciudad,Webkamera,Periferikoak,1302.49,5
2443,2026-05-09,Urbano Galiano Bravo,Tarragona,RAM memoria,Osagaiak,1678.84,7
2444,2025-06-17,Bibiana Menéndez,Murcia,Wi-Fi egokigailua,Sareak,545.75,3
2445,2026-01-25,Abel Alex Aramburu Cid,Murcia,Sare-kablea,Sareak,1365.6,2
2446,2026-01-23,Rosa Alemany Montenegro,Palencia,Teklatua,Periferikoak,1150.98,6
2447,2025-02-23,Jose Miguel Carbó Pérez,Toledo,Teklatua,Periferikoak,1805.82,4
2448,2025-05-15,Sonia Gaya Pizarro,Zaragoza,Prozesadorea,Osagaiak,188.7,1
2449,2025-11-28,Samanta Guitart,Navarra,Mahaigaineko ordenagailua,Ordenagailuak,1072.14,1
2450,2026-06-09,Amada de Zurita,Guipúzcoa,Monitorea,Periferikoak,137.42,9
2451,2025-12-24,María Grau Ayala,Teruel,RAM memoria,Osagaiak,1302.56,7
2452,2024-11-27,Georgina Domínguez Amat,Barcelona,Switch-a,Sareak,1386.81,7
2453,2025-06-05,Encarnacion Segarra-Jerez,Álava,Mahaigaineko ordenagailua,Ordenagailuak,1871.91,4
2454,2026-09-19,Alejandro Oller Garay,Álava,Mini PC,Ordenagailuak,891.63,4
2455,2025-12-19,Buenaventura Asdrubal Casanovas Mendez,Sevilla,Sare-kablea,Sareak,1246.29,8
2456,2026-03-13,Miriam Andrade Calleja,Zaragoza,Sare-kablea,Sareak,879.61,2
2457,2025-09-08,Nando Gascón Rebollo,Las Palmas,Wi-Fi egokigailua,Sareak,55.11,7
2458,2025-08-25,Carmela Cuenca Espejo,Las Palmas,Txartel grafikoa,Osagaiak,914.65,9
2459,2025-11-14,Jacobo Puerta,La Coruña,Mahaigaineko ordenagailua,Ordenagailuak,351.23,9
2460,2025-08-28,Marisela Herranz-Monreal,Barcelona,Mahaigaineko ordenagailua,Ordenagailuak,704.79,8
2461,2025-08-29,Etelvina Valcárcel Pinto,Albacete,Switch-a,Sareak,1873.71,6
2462,2025-05-13,Ángel Manso Casanovas,Badajoz,Mahaigaineko ordenagailua,Ordenagailuak,680.61,9
2463,2025-11-15,Manolo Ortuño Prieto,Zaragoza,Prozesadorea,Osagaiak,1099.68,8
2464,2026-01-10,Juan José Iker Ariza Barba,Vizcaya,Ordenagailu eramangarria,Ordenagailuak,13.91,10
2465,2025-04-03,Ofelia Merche Escrivá Yáñez,Navarra,Txartel grafikoa,Osagaiak,720.81,8
2466,2025-12-25,Roldán Cid Ferrández,Baleares,Ordenagailu eramangarria,Ordenagailuak,1502.19,6
2467,2024-11-09,Genoveva Araujo,Cuenca,Ordenagailu eramangarria,Ordenagailuak,1175.96,1
2468,2026-01-19,Fabiola Brígida Escudero Cáceres,Cantabria,Sare-kablea,Sareak,1243.26,2
2469,2025-07-01,Adolfo Valentín Ferrán,Barcelona,Mahaigaineko ordenagailua,Ordenagailuak,1613.22,7
2470,2025-01-03,Jennifer Parra-Haro,Zamora,Wi-Fi egokigailua,Sareak,55.89,6
2471,2026-07-01,Sancho Lluch Mayol,Sevilla,Wi-Fi egokigailua,Sareak,1850.52,8
2472,2024-10-30,Macarena Ureña Galindo,Segovia,Monitorea,Periferikoak,523.47,4
2473,2025-05-23,Enrique Pintor Romeu,Huelva,Sagua,Periferikoak,1369.95,5
2474,2026-04-21,Perla de Osuna,Santa Cruz de Tenerife,RAM memoria,Osagaiak,1755.53,8
2475,2025-08-06,Saturnina Marí Villaverde,Ciudad,RAM memoria,Osagaiak,65.84,8
2476,2025-06-17,Adela Verdejo Manso,Cáceres,Sare-kablea,Sareak,1584.78,9
2477,2026-01-16,Eutimio Hervás-Ros,Murcia,Prozesadorea,Osagaiak,734.3,5
2478,2026-04-30,Palmira Antón Díez,La Coruña,Webkamera,Periferikoak,343.93,1
2479,2025-08-24,Chema Ferrández-Arroyo,León,Ordenagailu eramangarria,Ordenagailuak,1878.94,8
2480,2026-06-02,Estela Lerma-Ojeda,Ciudad,Prozesadorea,Osagaiak,134.53,3
2481,2025-11-06,Aura Pablo Arenas,Tarragona,Teklatua,Periferikoak,619.43,1
2482,2026-08-25,Fabricio Gallego Nuñez,Asturias,RAM memoria,Osagaiak,1866.59,10
2483,2026-04-10,Seve de Tur,Cantabria,Teklatua,Periferikoak,1638.92,2
2484,2025-01-05,Maricela Andres Llobet,La Coruña,Mahaigaineko ordenagailua,Ordenagailuak,383.58,5
2485,2025-10-31,Yolanda Español Núñez,Tarragona,Prozesadorea,Osagaiak,1077.46,8
2486,2025-10-14,Otilia del Olivé,Guipúzcoa,Prozesadorea,Osagaiak,536.8,7
2487,2026-04-29,Luís Guerra Morante,Ávila,Mahaigaineko ordenagailua,Ordenagailuak,1368.38,6
2488,2025-05-10,Omar del Angulo,Barcelona,Webkamera,Periferikoak,386.69,2
2489,2025-08-22,Ismael del Pol,Barcelona,Bideratzailea,Sareak,1372.4,8
2490,2026-08-28,Ricardo Roig Jiménez,Cádiz,Webkamera,Periferikoak,63.65,5
2491,2025-10-02,Genoveva Cuesta Alcalá,Las Palmas,Mini PC,Ordenagailuak,484.1,10
2492,2025-03-18,Íñigo del Benavent,Valencia,Sare-kablea,Sareak,1932.7,5
2493,2024-10-17,Palmira Clavero Casares,León,Sagua,Periferikoak,1390.12,3
2494,2025-04-16,Severiano de Mendez,Ávila,SSD diskoa,Osagaiak,1336.19,1
2495,2025-06-20,Herberto del Pazos,Soria,RAM memoria,Osagaiak,1137.22,4
